time,value,n
2014-01-01,0,1
2014-01-02,0,1
2014-01-03,0,1
2014-01-04,0,1
2014-01-05,0,1
2014-01-06,0,1
2014-01-07,0,1
2014-01-08,0,1
2014-01-09,0,1
2014-01-10,0,1
2014-01-11,0,1
2014-01-12,0,1
2014-01-13,0,1
2014-01-14,0,1
2014-01-15,0,1
2014-01-16,0,2
2014-01-17,0,2
2014-01-18,51,2
2014-01-19,0,2
2014-01-20,38,2
2014-01-21,39,2
2014-01-22,0,2
2014-01-23,0,2
2014-01-24,0,2
2014-01-25,0,2
2014-01-26,0,2
2014-01-27,0,2
2014-01-28,0,2
2014-01-29,0,2
2014-01-30,0,2
2014-01-31,0,3
2014-02-01,0,3
2014-02-02,0,3
2014-02-03,0,3
2014-02-04,0,3
2014-02-05,0,3
2014-02-06,58.666666666666664,3
2014-02-07,43,3
2014-02-08,0,3
2014-02-09,0,3
2014-02-10,0,3
2014-02-11,0,3
2014-02-12,0,3
2014-02-13,0,3
2014-02-14,42,3
2014-02-15,48,4
2014-02-16,40.5,4
2014-02-17,34,4
2014-02-18,0,4
2014-02-19,0,4
2014-02-20,0,4
2014-02-21,77.5,4
2014-02-22,0,4
2014-02-23,85.75,4
2014-02-24,0,4
2014-02-25,0,4
2014-02-26,0,4
2014-02-27,0,4
2014-02-28,0,4
2014-03-01,0,4
2014-03-02,39.4,5
2014-03-03,0,5
2014-03-04,33.2,5
2014-03-05,0,5
2014-03-06,0,5
2014-03-07,0,5
2014-03-08,0,5
2014-03-09,0,5
2014-03-10,66.8,5
2014-03-11,34.6,5
2014-03-12,0,5
2014-03-13,0,5
2014-03-14,0,5
2014-03-15,0,5
2014-03-16,0,5
2014-03-17,0,6
2014-03-18,0,6
2014-03-19,0,6
2014-03-20,0,6
2014-03-21,38,6
2014-03-22,0,6
2014-03-23,0,6
2014-03-24,0,6
2014-03-25,0,6
2014-03-26,0,6
2014-03-27,0,6
2014-03-28,0,6
2014-03-29,0,6
2014-03-30,44.166666666666664,6
2014-03-31,0,6
2014-04-01,0,7
2014-04-02,34,7
2014-04-03,0,7
2014-04-04,0,7
2014-04-05,0,7
2014-04-06,0,7
2014-04-07,0,7
2014-04-08,0,7
2014-04-09,0,7
2014-04-10,33,7
2014-04-11,37.714285714285715,7
2014-04-12,0,7
2014-04-13,0,7
2014-04-14,0,7
2014-04-15,0,7
2014-04-16,0,8
2014-04-17,0,8
2014-04-18,40.375,8
2014-04-19,0,8
2014-04-20,0,8
2014-04-21,0,8
2014-04-22,0,8
2014-04-23,0,8
2014-04-24,34.5,8
2014-04-25,0,8
2014-04-26,0,8
2014-04-27,0,8
2014-04-28,0,8
